"company","cik","city_business_address","zip_business_address","revenue","assets","stockholders_equity","net_income","roe","net_profit_margin","return_on_assets","leverage","Ticker","volatility"
"SCHLUMBERGER LIMITED/NV",87347,"HOUSTON","77056",3.2917e+10,5.6312e+10,2.376e+10,-1.0137e+10,-0.426641414141414,-0.307956375125315,0.584546810626509,2.37003367003367,"SLB",0.0810406927208201
"INTEL CORP",50863,"SANTA CLARA","95054",7.1965e+10,1.36524e+11,7.7504e+10,2.1048e+10,0.271573080099092,0.292475508927951,0.527123436172395,1.76150908340215,"INTC",0.0588282861107613
"KANSAS CITY SOUTHERN",54480,"KANSAS CITY","64105",2.866e+09,9786800000,4422500000,538900000,0.121854154889768,0.188032100488486,0.292843421751747,2.21295647258338,"KSU",0.0585341554433484
"NETFLIX INC",1065280,"LOS GATOS","95032",20156447000,33975712000,7582157000,1866916000,0.246224919900762,0.0926212838998857,0.593260473834956,4.48100876834916,"NFLX",0.0399371991551334
"UNITED RENTALS, INC.",1067701,"STAMFORD","06902",9.351e+09,1.897e+10,3.83e+09,1.174e+09,0.306527415143603,0.125548069725163,0.492936215076436,4.95300261096606,"URI",0.0753630096904359
"NORTHROP GRUMMAN CORP /DE/",1133421,"FALLS CHURCH","22042",3.3841e+10,4.1089e+10,8.819e+09,2.248e+09,0.254904184147863,0.0664282970361396,0.823602424006425,4.65914502778093,"NOC",0.0442987511670161
"COMCAST CORP",1166691,"PHILADELPHIA","19103-2838",1.08942e+11,2.63414e+11,8.2726e+10,1.3057e+10,0.157834296351812,0.119852765691836,0.413577106759701,3.18417426202161,"CMCSA",0.0423455687177541
"FACEBOOK INC",1326801,"MENLO PARK","94025",7.0697e+10,1.33376e+11,1.01054e+11,1.8485e+10,0.182922002097888,0.26146795479299,0.530057881477927,1.31984879371425,"FB",0.0439985639212925
"BOEING CO",12927,"SEATTLE","98124",7.6559e+10,1.33625e+11,-8.617e+09,-6.36e+08,0.0738075896483695,-0.0083073185386434,0.572939195509822,-15.5071370546594,"BA",0.0948256602036293
"AMAZON COM INC",1018724,"SEATTLE","98109",2.80522e+11,2.25248e+11,6.206e+10,1.1588e+10,0.186722526587174,0.0413087030607225,1.24539174598665,3.62951981952949,"AMZN",0.0333806993741634
